species,country,region,farm,aroma,cupper_points,sweetness,clean_cup,uniformity,balance,body,acidity,aftertaste,flavor
Arabica,Uganda,"sipi, mt elgon",,8.25,7.92,10.0,10.0,10.0,7.92,8.0,8.08,7.83,8.0
Arabica,Ethiopia,sidamo,contact | sidacoop@ethionet.net,7.75,7.92,10.0,10.0,10.0,8.0,8.0,8.25,8.0,8.08
Arabica,United States (Hawaii),kona,hula daddy kona coffee,8.33,8.17,10.0,10.0,10.0,7.83,7.75,8.0,7.75,8.17
Arabica,Guatemala,nuevo oriente,la esperanza y anexos,7.92,8.0,10.0,10.0,10.0,7.83,8.08,8.08,7.92,8.08
Arabica,Uganda,eastern,sipi organic coffee project,8.17,8.0,10.0,10.0,10.0,7.75,7.83,8.08,7.92,8.17
Arabica,Colombia,huila,,8.0,7.92,10.0,10.0,10.0,8.0,7.83,8.17,8.0,8.0
Arabica,Panama,boquete,la berlina estate,8.0,8.0,10.0,10.0,10.0,8.0,7.83,8.08,7.92,8.0
Arabica,Ethiopia,oromia,,7.83,8.0,10.0,10.0,10.0,7.92,8.0,8.08,7.92,8.08
Arabica,Guatemala,acatenango,valparaiso,7.83,8.0,10.0,10.0,10.0,8.0,7.83,8.17,8.0,8.0
Arabica,Guatemala,nuevo oriente,finca el limon,8.0,8.0,10.0,10.0,10.0,7.83,7.83,8.33,7.83,8.0
Arabica,Ethiopia,addis ababa,seid damtew coffee planation,7.83,8.0,10.0,10.0,10.0,8.0,7.92,8.17,7.83,8.0
Arabica,Peru,cajamarca,,8.0,8.0,10.0,10.0,10.0,7.75,7.92,8.08,8.0,8.0
Arabica,Papua New Guinea,eastern highlands province,tairora cherry – bonta,8.33,7.92,10.0,9.33,9.33,8.25,8.0,8.33,7.83,8.42
Arabica,El Salvador,apaneca,el majahual,7.92,8.0,10.0,10.0,10.0,7.83,7.75,7.92,8.0,8.17
Arabica,El Salvador,"ataco, apaneca - ilamatepec mountain range",finca la esmeralda,7.83,7.92,10.0,10.0,10.0,8.17,7.92,7.75,8.0,8.0
Arabica,United States (Hawaii),kona,,7.83,8.0,10.0,10.0,10.0,8.0,8.08,7.75,7.92,8.0
Arabica,Panama,boquete,elida estate,8.0,7.83,10.0,10.0,10.0,8.58,7.67,7.83,7.83,7.75
Arabica,Kenya,kirinyaga,inoi,7.92,8.0,10.0,10.0,10.0,7.92,7.83,8.08,7.83,7.92
Arabica,Ethiopia,oromia,,7.83,8.0,10.0,10.0,10.0,8.08,7.83,7.92,7.83,8.0
Arabica,Uganda,bulambuli eastern region,buginyanya,8.33,8.08,10.0,10.0,10.0,7.92,7.67,7.92,7.67,7.92
Arabica,Guatemala,huehuetenango,asoperc,8.0,7.83,10.0,10.0,10.0,8.0,7.83,8.33,7.67,7.83
Arabica,Ethiopia,oromia,,7.75,8.08,10.0,10.0,10.0,7.83,7.92,8.17,7.83,7.83
Arabica,Uganda,kapchorwa,chesiyo farmer group,8.08,8.0,10.0,10.0,10.0,7.83,8.0,7.67,7.83,8.0
Arabica,United States (Hawaii),kona,,7.92,8.25,10.0,10.0,10.0,7.92,7.75,7.92,7.75,7.92
Arabica,Brazil,south of minas,fazenda serra de três barras,8.0,8.0,10.0,10.0,10.0,8.0,7.75,7.67,8.0,8.0
Arabica,El Salvador,apaneca,sierra nevada,8.08,7.92,10.0,10.0,10.0,7.83,7.83,8.08,7.83,7.83
Arabica,China,yunnan,pu'er city longke coffee co.ltd,8.0,7.92,10.0,10.0,10.0,7.75,7.83,7.83,8.0,8.0
Arabica,Guatemala,huehuetenango,el injerto s.a.,7.83,7.83,10.0,10.0,10.0,8.58,7.83,7.67,7.83,7.75
Arabica,Costa Rica,west valley,several,7.92,8.0,9.33,10.0,10.0,8.08,8.0,7.92,8.0,8.08
Arabica,Costa Rica,san ramon,several,8.0,7.92,10.0,10.0,10.0,8.5,8.08,7.67,7.58,7.58
Arabica,Kenya,central kenya,,7.83,7.92,10.0,10.0,10.0,7.75,7.92,8.08,7.75,8.08
Arabica,Kenya,central kenya,,8.0,7.83,10.0,10.0,10.0,7.75,7.83,8.08,7.92,7.92
Arabica,Ethiopia,yirgacheffe,phone number | 0911-513824 email: gmt.ft,7.83,8.08,10.0,10.0,10.0,7.83,7.75,8.08,7.92,7.83
Arabica,Ethiopia,yirgacheffe,,7.92,8.0,10.0,10.0,10.0,7.75,7.75,8.33,7.75,7.83
Arabica,Guatemala,oriente,la esperanza y anexos,8.0,7.83,10.0,10.0,10.0,7.83,7.92,8.0,7.75,7.92
Arabica,Colombia,santander,various,8.17,7.92,10.0,10.0,10.0,7.83,7.58,8.0,7.83,7.92
Arabica,Colombia,santander,,7.58,7.92,10.0,10.0,10.0,7.92,8.0,7.83,7.92,8.08
Arabica,Indonesia,lintong,,7.75,8.0,10.0,10.0,10.0,7.83,8.08,8.0,7.67,7.83
Arabica,Guatemala,huehuetenango,coop. hoja blanca - fedecocagua,8.25,7.92,10.0,10.0,10.0,7.67,7.75,7.92,7.67,8.0
Arabica,Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",seid damtew coffee planation,7.75,7.83,10.0,10.0,10.0,7.92,8.0,8.0,7.58,8.0
Arabica,Colombia,pasto,,8.17,7.67,10.0,10.0,10.0,7.75,8.0,8.08,7.58,7.83
Arabica,Ethiopia,aricha,aricha coop,8.42,8.08,10.0,10.0,9.33,7.92,7.92,8.0,7.42,8.0
Arabica,United States (Hawaii),kona,,7.58,7.92,10.0,10.0,10.0,8.17,7.83,7.92,7.83,7.83
Arabica,Colombia,cundinamarca,,7.83,8.08,10.0,10.0,10.0,7.83,7.83,7.75,7.75,8.0
Arabica,United States (Hawaii),kona,,8.08,8.17,10.0,9.33,9.33,8.0,8.08,8.0,7.92,8.17
Arabica,Ethiopia,sidamo,,7.67,7.83,10.0,10.0,10.0,7.83,7.92,8.0,7.83,8.0
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,7.5,7.92,10.0,10.0,10.0,7.75,7.92,7.83,8.25,7.92
Arabica,Uganda,eastern uganda,mount elgon area,8.17,8.0,10.0,10.0,10.0,7.75,7.67,7.75,7.75,7.92
Arabica,Colombia,huila,,8.0,7.83,10.0,10.0,10.0,7.83,7.75,7.92,7.75,7.92
Arabica,Costa Rica,tarrazu,estate la patricia,7.83,7.92,10.0,10.0,10.0,7.83,7.92,7.92,7.58,8.0
Arabica,Mexico,veracruz,various,7.83,8.08,10.0,10.0,10.0,7.83,7.67,7.75,7.83,8.0
Arabica,Kenya,,,8.17,7.83,10.0,10.0,10.0,7.83,7.67,7.75,7.92,7.83
Arabica,Kenya,central kenya,machure estate,7.75,7.83,10.0,10.0,10.0,7.75,8.0,8.08,7.75,7.83
Arabica,Brazil,grama valley,sitío são geraldo,8.0,8.0,10.0,10.0,10.0,7.67,7.67,7.83,7.83,8.0
Arabica,Mexico,mexico,kassandra,7.92,7.83,10.0,10.0,10.0,7.83,7.42,8.08,7.75,8.17
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,7.75,7.83,10.0,10.0,10.0,8.0,8.0,7.75,7.75,7.92
Arabica,Guatemala,"chuva, san marcos",la igualdad,7.83,8.0,10.0,10.0,10.0,7.67,7.75,8.0,7.67,8.08
Arabica,Colombia,huila,,7.92,7.83,10.0,10.0,10.0,7.83,7.92,7.83,7.67,7.92
Arabica,Colombia,huila,,7.92,7.83,10.0,10.0,10.0,8.0,7.75,7.83,7.75,7.83
Arabica,Taiwan,natou county,baishengcun coffee 百勝村咖啡莊園,7.67,7.92,10.0,10.0,10.0,7.92,8.0,7.58,8.0,7.83
Arabica,"Tanzania, United Republic Of",mbeya,hasambo amcos,8.0,7.83,10.0,10.0,10.0,7.75,7.75,7.92,7.83,7.83
Arabica,Colombia,huila,,7.75,7.92,10.0,10.0,10.0,8.0,7.75,7.75,7.83,7.92
Arabica,Mexico,coatepec,el suspiro,7.75,8.17,10.0,10.0,10.0,7.92,7.5,7.83,7.75,8.0
Arabica,Brazil,south of minas,fazenda grota funda,8.0,7.75,10.0,10.0,10.0,7.75,8.0,7.75,7.75,7.92
Arabica,Brazil,south of minas,sitio claro,8.0,7.92,10.0,10.0,10.0,7.75,7.5,8.0,7.75,8.0
Arabica,Kenya,,,8.0,7.58,10.0,10.0,10.0,7.75,7.92,8.17,7.83,7.67
Arabica,Taiwan,"dongshan dist., tainan city 臺南市東山區",shi fang yuan 十方源,7.92,8.0,10.0,10.0,10.0,7.83,7.83,7.83,7.83,7.58
Arabica,Uganda,eastern,mt.elgon bugisu shamba 2,7.75,7.83,10.0,10.0,10.0,7.75,8.25,7.67,7.67,7.92
Arabica,United States (Hawaii),kona,,7.67,8.08,10.0,10.0,10.0,8.0,7.83,7.75,7.75,7.75
Arabica,Ethiopia,sidamo,contact | sidacoop@ethionet.net,7.75,8.0,10.0,10.0,10.0,7.67,7.75,7.92,7.83,7.92
Arabica,Ethiopia,sidamo,contact | sidacoop@ethionet.net,7.42,7.92,10.0,10.0,10.0,7.83,7.83,8.0,7.92,7.92
Arabica,Thailand,thailand,matsuzawa coffee,7.75,8.0,10.0,10.0,10.0,7.75,8.0,7.75,7.75,7.75
Arabica,Kenya,nyeri,karatina,7.92,7.92,10.0,10.0,10.0,7.83,7.75,7.92,7.58,7.83
Arabica,Honduras,marcala,cerro bueno,7.83,8.17,10.0,10.0,10.0,7.67,7.67,7.67,8.0,7.75
Arabica,El Salvador,santa ana,several,7.75,7.75,9.33,10.0,10.0,7.92,7.67,8.33,8.0,8.0
Arabica,Nicaragua,jinotega,santa martha,7.83,8.5,10.0,10.0,10.0,7.67,7.75,7.83,7.58,7.58
Arabica,El Salvador,apaneca,monterrey,7.83,8.0,10.0,10.0,10.0,7.67,7.83,8.0,7.5,7.83
Arabica,Indonesia,"temanggung, indonesia",sran temanggung plantation,7.92,7.92,10.0,10.0,10.0,7.75,7.75,7.75,7.75,7.83
Arabica,Japan,ada okinawa japan,ada farm,7.75,8.08,10.0,10.0,10.0,7.83,8.08,7.42,7.75,7.75
Arabica,Costa Rica,tarrazu,rio jorco,8.08,7.92,10.0,10.0,10.0,7.92,7.5,7.83,7.67,7.75
Arabica,Guatemala,acatenango,san diego buena vista,7.75,7.83,10.0,10.0,10.0,7.75,7.92,8.0,7.58,7.83
Arabica,Costa Rica,tarrazu,coopetarrazú,8.17,7.92,10.0,10.0,10.0,7.75,7.83,7.17,7.83,8.0
Arabica,Ethiopia,yirgacheffe,moplaco,8.08,7.92,10.0,10.0,10.0,7.67,7.58,7.83,7.75,7.83
Arabica,Costa Rica,costa rica,finca salaca las brisas,7.67,7.67,10.0,10.0,10.0,8.58,7.67,7.75,7.75,7.58
Arabica,Costa Rica,west valley,various,8.0,8.0,10.0,10.0,10.0,7.75,7.75,7.75,7.83,7.58
Arabica,Costa Rica,,,8.08,7.92,9.33,10.0,10.0,8.0,7.92,7.83,7.75,7.83
Arabica,Taiwan,taichung xinshe 台中市新社區,dragon 龍咖啡,8.0,7.75,10.0,10.0,10.0,7.75,7.75,7.75,7.75,7.92
Arabica,Colombia,santander,,7.75,7.92,10.0,10.0,10.0,7.83,7.75,7.83,7.75,7.83
Arabica,Kenya,nyeri,,7.75,7.83,10.0,10.0,10.0,7.75,7.58,8.0,7.83,7.92
Arabica,Guatemala,oriente,agropecuaria quiagral,8.0,7.67,10.0,10.0,10.0,8.0,7.67,7.83,7.67,7.83
Arabica,Guatemala,acatenango,valparaiso,7.67,8.0,10.0,10.0,10.0,7.83,7.67,8.0,7.67,7.83
Arabica,Mexico,el remudadero,"el nogal, la higuera, los laureles",7.83,7.92,10.0,10.0,10.0,7.83,7.92,7.92,7.67,7.58
Arabica,Uganda,mbale,,7.92,7.83,10.0,10.0,10.0,7.75,7.67,7.92,7.75,7.83
Arabica,Peru,"penachi, cecanor",,7.67,7.92,10.0,10.0,10.0,7.83,7.92,7.75,7.75,7.83
Arabica,Ethiopia,sidamo,contact | sidacoop@ethionet.net,7.42,7.83,10.0,10.0,10.0,7.92,8.0,8.0,7.75,7.75
Arabica,Kenya,nyeri,jungle estate,7.92,7.83,10.0,10.0,10.0,7.92,7.58,7.75,7.83,7.75
Arabica,Colombia,santander,,7.83,8.08,10.0,10.0,10.0,7.83,7.67,7.92,7.58,7.67
Arabica,Colombia,huila,,7.92,7.75,10.0,10.0,10.0,7.67,7.83,8.0,7.58,7.83
Arabica,Kenya,nyeri,blend,7.83,7.92,10.0,10.0,10.0,7.83,7.58,7.75,7.83,7.83
Arabica,Guatemala,jalapa,el morito,7.75,7.83,10.0,10.0,10.0,7.83,7.75,7.92,7.67,7.83
Arabica,Guatemala,oriente,el papaturro,8.0,8.17,10.0,10.0,10.0,7.67,7.58,7.58,7.67,7.92
Arabica,Colombia,santander,,7.67,7.83,10.0,10.0,10.0,8.5,7.58,7.75,7.58,7.67
Arabica,Colombia,huila,,7.75,7.92,10.0,10.0,10.0,8.0,7.58,7.75,7.83,7.75
Arabica,Kenya,,,7.75,7.75,10.0,10.0,10.0,7.75,7.75,8.08,7.75,7.75
Arabica,Colombia,huila,,7.67,7.75,10.0,10.0,10.0,7.92,7.58,8.0,7.83,7.83
Arabica,Costa Rica,tres rios,la chaparral,7.75,7.75,10.0,10.0,10.0,7.67,7.83,8.0,7.75,7.83
Arabica,Colombia,huila,various,7.42,8.08,10.0,10.0,10.0,7.83,8.08,7.75,7.75,7.67
Arabica,Brazil,vale da grama,fazenda recreio,8.0,7.75,10.0,10.0,10.0,7.75,7.58,7.75,7.75,8.0
Arabica,Brazil,mountains of minas gerais,fazenda vista alegre,8.5,7.5,10.0,10.0,10.0,7.83,7.5,7.75,7.5,8.0
Arabica,Costa Rica,valle central,,7.92,8.0,10.0,10.0,10.0,7.58,7.67,7.75,7.92,7.67
Arabica,Uganda,eastern uganda,kawacom sipi project,7.92,7.83,10.0,10.0,10.0,7.75,7.83,7.75,7.67,7.75
Arabica,China,yunnan,menglian ban’an coffee processing factory,7.75,7.92,10.0,10.0,10.0,7.67,7.75,7.83,7.67,7.92
Arabica,Costa Rica,tarrazu,coopetarrazú,7.92,7.92,10.0,10.0,10.0,7.58,7.58,7.83,7.83,7.83
Arabica,Colombia,cauca,,8.08,7.75,10.0,10.0,10.0,7.67,7.67,7.83,7.83,7.67
Arabica,China,yunnan,"puer jiangcheng fuwang coffee biotechnology co., ltd",7.67,7.92,10.0,10.0,10.0,7.58,7.75,7.83,7.75,8.0
Arabica,Guatemala,oriente,el sacramento,8.17,7.5,10.0,10.0,10.0,7.83,7.67,7.83,7.67,7.83
Arabica,Kenya,nyeri,rumukia farmers,7.92,7.67,10.0,10.0,10.0,7.75,7.67,8.0,7.67,7.83
Arabica,Mexico,hustusco,la barranca,8.0,7.92,10.0,10.0,10.0,7.67,7.5,8.08,7.42,7.92
Arabica,Mexico,jaltenango,finca el retiro,7.92,7.67,10.0,10.0,10.0,7.83,7.75,7.75,7.75,7.83
Arabica,Guatemala,"el tumbador, san marcos",nueva granada,7.67,7.83,10.0,10.0,10.0,7.83,7.5,8.0,7.67,8.0
Arabica,Brazil,mmm,,7.81,8.13,10.0,10.0,9.5,8.25,7.38,7.75,7.88,7.81
Arabica,Brazil,test,,8.17,7.75,10.0,10.0,10.0,7.75,7.67,7.75,7.75,7.67
Arabica,Costa Rica,tarrazu,several farmers,7.58,7.92,10.0,10.0,10.0,7.58,7.67,8.0,7.83,7.83
Arabica,Indonesia,sumatra brastagi,darmawi,7.67,8.0,10.0,10.0,10.0,7.83,7.83,7.58,7.83,7.67
Arabica,Colombia,pitalito,,7.92,7.67,10.0,10.0,10.0,7.67,7.92,7.67,7.75,7.83
Arabica,Colombia,huila,,7.92,7.75,10.0,10.0,10.0,7.75,7.67,7.92,7.67,7.75
Arabica,Taiwan,"mountain ali, taiwan",tropica galliard,7.83,7.75,10.0,10.0,10.0,7.75,7.5,8.0,7.75,7.83
Arabica,United States (Hawaii),kona,,7.92,7.83,10.0,10.0,10.0,7.92,7.5,7.83,7.5,7.92
Arabica,Mexico,tapachula,finca la chiripa,7.75,7.83,10.0,10.0,10.0,7.67,7.83,7.67,7.75,7.92
Arabica,Ethiopia,limu,phone number | 0911-513824 email: gmt.ft,7.5,7.75,10.0,10.0,10.0,7.75,7.92,7.92,7.83,7.75
Arabica,Kenya,nyeri,kigwandi,7.33,8.17,10.0,10.0,10.0,7.92,7.75,7.75,7.83,7.58
Arabica,Honduras,comayagua,las cuchillas,7.92,7.58,10.0,10.0,10.0,7.75,7.67,7.67,7.75,8.0
Arabica,Colombia,huila,,7.58,7.5,10.0,10.0,10.0,8.5,7.67,7.83,7.5,7.75
Arabica,Honduras,central region,los hicaques,7.58,7.83,10.0,10.0,10.0,7.75,7.92,7.75,7.58,7.92
Arabica,Colombia,la plata,,7.67,7.83,10.0,10.0,10.0,7.83,7.75,7.83,7.75,7.67
Arabica,Colombia,huila,,7.75,7.33,10.0,10.0,10.0,7.83,8.08,7.67,8.0,7.67
Arabica,Colombia,huila,,7.75,8.17,10.0,10.0,10.0,8.08,7.58,7.83,7.33,7.58
Arabica,Mexico,tuxtla gutierrez,la distancia,8.0,7.83,10.0,10.0,10.0,7.67,7.5,7.83,7.75,7.75
Arabica,Brazil,vale da grama,santa alina,8.17,7.75,10.0,10.0,10.0,7.67,7.5,7.75,7.5,8.0
Arabica,Brazil,south of minas,fazenda baipendi,8.0,7.92,10.0,10.0,10.0,7.75,7.67,7.5,7.5,8.0
Arabica,Ethiopia,limu,,7.75,7.75,10.0,10.0,10.0,7.92,7.5,7.75,7.92,7.75
Arabica,Guatemala,nuevo oriente,las minas,7.5,7.92,10.0,10.0,10.0,7.92,7.92,7.67,7.75,7.67
Arabica,Taiwan,國姓鄉 guoshing township,馨晴咖啡 good mood coffee,7.92,7.67,10.0,10.0,10.0,7.83,7.67,7.67,7.75,7.75
Arabica,Thailand,chiang rai thailand,matsuzawa coffee,7.83,8.0,10.0,10.0,10.0,7.67,7.83,7.42,7.75,7.75
Arabica,Colombia,nariño,,7.83,7.83,10.0,10.0,10.0,8.0,7.67,7.58,7.75,7.58
Arabica,Guatemala,antigua,finca medina,7.75,7.75,10.0,10.0,10.0,7.75,7.75,7.92,7.58,7.75
Arabica,Guatemala,huehuetenango,finca san vicente,7.75,7.75,10.0,10.0,10.0,7.67,7.58,8.08,7.5,7.92
Arabica,China,yunnan,menglian county nayun town mangzhang coffee farm,7.83,7.75,10.0,10.0,10.0,7.75,7.75,7.75,7.58,7.83
Arabica,Colombia,huila,,7.67,7.83,10.0,10.0,10.0,7.92,7.67,7.75,7.75,7.67
Arabica,Colombia,huila,,7.83,7.75,10.0,10.0,10.0,7.75,7.92,7.58,7.75,7.67
Arabica,Colombia,cauca,,7.83,7.83,10.0,10.0,10.0,7.75,7.67,7.58,7.83,7.75
Arabica,Colombia,huila,,7.42,7.83,10.0,10.0,10.0,7.83,7.92,7.75,7.83,7.67
Arabica,"Tanzania, United Republic Of",shizingo village,jacksom mwasenga,7.83,7.83,10.0,10.0,10.0,7.67,7.67,7.83,7.75,7.67
Arabica,"Tanzania, United Republic Of",mbeya,suma jkt itende,7.83,7.75,10.0,10.0,10.0,7.75,7.67,7.75,7.75,7.75
Arabica,Guatemala,oriente,el papaturro,7.83,7.83,10.0,10.0,10.0,7.75,7.58,7.92,7.5,7.83
Arabica,Colombia,cauca,,7.58,7.83,10.0,10.0,10.0,7.83,7.92,7.83,7.75,7.5
Arabica,United States (Hawaii),kona,,7.33,7.83,9.33,10.0,10.0,8.08,7.92,7.92,7.92,7.92
Arabica,Mexico,san pedro cotzilnam,pante carajillo,7.83,7.75,10.0,10.0,10.0,7.75,7.5,7.83,7.67,7.92
Arabica,Mexico,veracruz,finca los barreales,7.83,7.75,10.0,10.0,10.0,7.58,7.83,7.67,7.75,7.83
Arabica,Mexico,"la concordia, chiapas",finca santa teresa,7.83,7.83,10.0,10.0,10.0,7.75,7.5,7.75,7.67,7.92
Arabica,Uganda,kasese,,8.17,7.67,10.0,10.0,10.0,7.58,7.83,7.67,7.58,7.75
Arabica,Guatemala,san marcos,piamonte,7.75,7.75,10.0,10.0,10.0,7.75,7.67,7.83,7.58,7.83
Arabica,Colombia,huila,,7.83,7.75,10.0,10.0,10.0,7.83,7.75,7.67,7.58,7.75
Arabica,Costa Rica,tarrazu,los girasoles,7.92,8.0,10.0,10.0,10.0,7.67,7.5,7.67,7.67,7.75
Arabica,Guatemala,huehuetenango,finca la joya,7.75,7.58,10.0,10.0,10.0,7.83,7.67,8.0,7.58,7.75
Arabica,Guatemala,solola,santo tomas pachuj,7.75,7.67,10.0,10.0,10.0,7.67,7.67,7.92,7.58,7.92
Arabica,Guatemala,norte,chapultepec,7.58,7.83,10.0,10.0,10.0,7.67,7.83,7.83,7.58,7.83
Arabica,Colombia,huila,,8.0,7.67,10.0,10.0,10.0,7.83,8.0,7.67,7.5,7.5
Arabica,Nicaragua,jinotega,las nubes,7.67,7.83,10.0,10.0,10.0,7.83,7.67,7.5,7.83,7.83
Arabica,Brazil,cerrado,pantano,7.67,7.75,10.0,10.0,10.0,7.75,7.83,7.67,7.75,7.75
Arabica,Costa Rica,tarrazu,gamboa,7.67,7.83,10.0,10.0,10.0,8.0,7.5,7.75,7.67,7.75
Arabica,Ethiopia,snnprg; kafa; telo woreda; shada kebele,asefa dukamo coffee plantation,7.5,7.75,10.0,10.0,10.0,7.83,7.75,7.83,7.58,7.92
